panelist,samplekey,Floral,Fruity,Woody,Complexity,Malt,Sweet,Peaty,Dried_fruits,Aftertaste,date
1,000891,60,40,40,50,30,30,0,30,60,2023-01-12
1,000909,50,40,60,50,50,50,10,50,40,2023-01-12
1,000913,40,60,50,40,30,30,20,30,50,2023-01-12
1,000914,50,30,70,70,60,30,80,40,80,2023-01-12
1,000918,50,60,50,60,40,40,0,30,50,2023-01-12
1,000919,60,60,70,70,40,50,0,50,70,2023-01-12
1,000923,60,40,60,60,40,40,50,40,70,2023-01-12
1,000924,50,60,60,60,40,40,10,50,60,2023-01-12
1,000009,40,40,50,50,40,40,30,50,50,2023-01-12
1,000842,40,60,50,50,40,40,0,40,50,2023-01-12
1,000852,50,40,80,60,40,40,10,50,100,2023-01-12
1,000853,50,40,50,40,30,30,0,40,50,2023-01-12
1,000855,60,70,60,60,40,30,0,30,50,2023-01-12
1,000857,50,40,60,60,40,20,70,40,60,2023-01-12
1,000859,40,50,50,60,40,30,0,30,50,2023-01-12
1,000861,40,100,40,40,40,40,0,30,40,2023-01-12
1,000871,50,60,50,50,40,50,0,40,70,2023-01-12
1,000911,50,40,50,50,40,40,10,40,50,2023-01-12
1,000921,50,40,60,50,40,40,40,30,60,2023-01-12
1,000928,40,40,50,50,40,30,0,40,70,2023-01-12
1,000931,60,40,50,50,40,30,0,30,70,2023-01-12
1,000932,60,50,50,40,40,30,0,40,50,2023-01-12
1,M000367,40,40,60,60,40,30,40,40,70,2023-01-12
1,M000368,50,40,40,30,40,20,20,40,50,2023-01-12
1,M000369,40,40,40,40,30,30,0,30,60,2023-01-12
1,M000370,40,50,40,30,20,20,10,30,40,2023-01-12
1,M000371,30,30,40,40,30,30,10,30,50,2023-01-12
1,M000372,40,40,40,40,30,40,0,30,50,2023-01-12
1,M000373,50,60,50,50,40,40,0,30,70,2023-01-12
1,M000374,40,40,60,50,40,40,0,40,50,2023-01-12
1,M000375,40,40,60,40,40,30,10,30,50,2023-01-12
1,M000376,50,40,40,50,40,30,10,30,40,2023-01-12
1,M000377,40,40,40,40,40,20,10,40,40,2023-01-12
1,M000378,60,40,40,50,40,30,0,40,60,2023-01-12
1,M000379,40,40,70,50,40,40,30,40,70,2023-01-12
1,M000380,50,50,60,50,40,40,20,40,60,2023-01-12
1,M000381,50,50,60,50,40,40,0,40,50,2023-01-12
1,M000382,40,40,40,40,40,30,0,50,60,2023-01-12
1,M000383,40,40,60,50,40,40,20,30,50,2023-01-12
1,M000384,40,40,50,50,30,30,0,40,70,2023-01-12
1,M000385,50,40,40,30,30,20,10,30,50,2023-01-12
1,M000386,40,40,40,40,30,10,0,40,50,2023-01-12
1,M000387,60,50,50,40,40,30,0,40,50,2023-01-12
1,M000388,50,50,40,50,40,40,0,50,60,2023-01-12
1,M000389,40,40,50,40,40,30,0,40,50,2023-01-12
1,M000390,50,50,50,50,30,30,10,40,60,2023-01-12
1,M000391,50,60,60,50,30,40,10,40,50,2023-01-12
1,M000392,50,60,60,50,40,30,0,50,50,2023-01-12
1,M000393,30,40,60,60,60,50,0,30,60,2023-01-12
1,M000394,50,20,50,30,40,50,90,30,80,2023-01-12
1,M000395,50,20,50,60,40,40,20,30,50,2023-01-12
1,M000396,40,40,50,50,30,40,10,40,50,2023-01-12
1,M000397,40,70,50,50,30,40,0,20,60,2023-01-12
1,M000398,40,40,40,40,40,40,0,30,50,2023-01-12
1,M000399,40,50,40,50,30,30,0,40,50,2023-01-12
1,M000400,40,50,50,50,40,40,0,30,60,2023-01-12
1,M000401,30,40,60,50,30,30,0,40,60,2023-01-12
1,M000402,30,40,50,40,50,40,0,40,60,2023-01-12
2,000716,40,60,50,50,40,30,0,50,50,2023-01-12
2,000717,50,30,40,50,50,30,50,40,50,2023-01-12
2,000719,50,70,50,50,50,40,0,30,50,2023-01-12
2,000720,50,40,40,50,50,40,20,30,50,2023-01-12
2,000721,50,50,50,50,40,30,0,40,40,2023-01-12
2,000722,60,20,50,50,60,20,80,40,60,2023-01-12
2,000724,50,60,60,60,50,40,10,50,40,2023-01-12
2,000725,40,70,60,60,40,50,0,60,60,2023-01-12
2,000727,60,50,50,60,40,30,20,30,70,2023-01-12
2,000728,80,80,50,80,40,40,10,30,80,2023-01-12
2,000749,60,40,60,50,40,50,0,50,60,2023-01-12
2,000755,40,40,70,60,50,70,0,50,50,2023-01-12
2,000756,50,40,50,50,40,30,0,30,60,2023-01-12
2,000757,50,50,70,50,40,30,10,30,60,2023-01-12
2,000760,80,30,50,60,50,40,0,30,50,2023-01-12
2,000761,60,40,50,50,40,60,10,40,50,2023-01-12
2,000763,60,60,50,60,40,40,10,30,60,2023-01-12
2,000767,60,50,60,60,40,60,0,40,40,2023-01-12
2,000772,50,60,60,50,40,50,0,40,50,2023-01-12
2,000775,60,60,70,70,40,40,20,40,70,2023-01-12
2,000777,50,30,60,50,40,30,30,50,80,2023-01-12
2,000781,40,60,60,60,50,50,10,60,50,2023-01-12
2,000783,40,50,30,40,40,20,10,30,30,2023-01-12
2,000785,50,60,70,50,50,60,0,50,60,2023-01-12
2,000786,60,70,80,80,60,40,10,70,70,2023-01-12
2,000788,60,50,40,30,30,40,0,30,30,2023-01-12
2,000789,40,60,50,50,40,50,20,50,50,2023-01-12
2,000791,50,70,60,50,40,50,0,30,40,2023-01-12
2,000792,60,50,50,50,40,40,10,40,40,2023-01-12
2,000794,40,60,80,70,60,70,0,60,80,2023-01-12
2,000796,40,50,40,50,40,30,10,40,60,2023-01-12
2,000797,40,60,40,40,30,30,0,30,50,2023-01-12
2,000804,30,40,70,60,50,30,0,40,70,2023-01-12
2,000805,40,60,40,50,30,30,0,30,70,2023-01-12
2,000806,50,40,30,30,40,30,20,30,30,2023-01-12
2,000807,40,30,70,70,50,60,40,30,70,2023-01-12
2,000811,70,40,40,70,30,40,10,60,60,2023-01-12
2,000813,50,60,60,60,40,30,0,40,60,2023-01-12
2,000814,40,40,50,50,40,30,0,40,60,2023-01-12
2,000815,40,50,40,40,30,20,10,50,60,2023-01-12
2,000818,40,50,60,50,40,30,0,30,70,2023-01-12
2,000819,60,40,40,50,30,30,30,30,60,2023-01-12
2,000825,30,60,50,50,40,40,0,40,60,2023-01-12
2,000827,40,30,90,70,50,40,10,70,50,2023-01-12
2,000828,40,50,40,40,40,40,0,30,40,2023-01-12
2,000830,50,40,50,40,40,50,10,40,70,2023-01-12
2,000834,40,60,60,50,30,40,10,20,60,2023-01-12
2,000835,50,50,50,60,40,40,0,30,50,2023-01-12
2,000863,50,50,50,40,40,30,0,40,60,2023-01-12
2,000837,50,40,70,60,50,30,0,40,60,2023-01-12
2,000838,30,70,60,60,50,40,0,60,60,2023-01-12
2,000839,50,60,50,60,30,60,0,40,60,2023-01-12
2,000843,60,40,50,60,40,40,0,30,50,2023-01-12
2,000844,50,30,80,70,50,40,10,50,60,2023-01-12
2,000845,50,40,60,40,40,50,10,40,50,2023-01-12
2,000846,60,30,60,60,40,30,60,40,70,2023-01-12
2,000847,60,50,70,50,40,40,20,30,70,2023-01-12
2,000848,60,30,70,40,40,40,40,30,70,2023-01-12
2,000849,50,40,60,50,30,50,0,40,70,2023-01-12
2,000850,60,30,70,50,50,30,60,40,80,2023-01-12
2,000856,40,40,70,50,40,40,0,40,50,2023-01-12
2,000858,40,40,60,50,40,30,40,40,60,2023-01-12
2,000860,70,40,40,50,40,20,0,40,50,2023-01-12
2,000862,40,60,50,50,40,50,0,50,40,2023-01-12
2,000864,50,80,40,50,40,50,0,40,50,2023-01-12
2,000865,40,50,50,50,40,40,20,40,50,2023-01-12
2,000867,40,50,50,60,40,50,0,40,50,2023-01-12
2,000869,50,30,70,60,40,30,100,30,80,2023-01-12
2,000870,40,40,50,40,30,40,0,40,40,2023-01-12
2,000872,50,60,60,50,40,50,0,40,50,2023-01-12
2,000873,50,60,50,60,40,40,0,40,60,2023-01-12
2,000874,60,40,50,40,40,30,20,40,50,2023-01-12
2,000875,50,70,60,40,30,40,0,30,60,2023-01-12
2,000876,60,60,50,50,30,30,10,40,50,2023-01-12
2,000877,50,70,60,60,60,50,0,30,70,2023-01-12
2,000878,70,40,60,60,40,30,40,40,70,2023-01-12
2,000879,50,50,50,50,40,50,0,40,40,2023-01-12
2,000880,40,40,60,50,40,30,10,40,60,2023-01-12
2,000886,60,30,60,60,40,40,40,30,90,2023-01-12
2,000887,40,60,20,50,40,50,0,40,80,2023-01-12
2,000890,40,40,70,70,40,40,10,50,80,2023-01-12
2,000891,50,40,40,40,30,30,0,40,60,2023-01-12
2,000909,40,50,60,60,50,40,20,50,50,2023-01-12
2,000913,40,60,50,40,40,30,20,40,50,2023-01-12
2,000914,40,40,70,60,50,30,70,40,80,2023-01-12
2,000918,40,60,50,50,40,30,10,40,60,2023-01-12
2,000919,50,50,80,70,50,40,10,40,70,2023-01-12
2,000923,40,40,50,60,40,30,60,40,70,2023-01-12
2,000924,50,70,50,50,40,40,0,30,50,2023-01-12
2,000009,50,60,60,60,40,50,10,60,50,2023-01-12
2,000842,40,60,50,50,30,40,0,30,40,2023-01-12
2,000852,60,40,80,60,50,40,0,50,90,2023-01-12
2,000853,40,40,50,40,30,30,10,30,40,2023-01-12
2,000855,50,70,60,60,40,40,10,40,60,2023-01-12
2,000857,70,30,60,60,50,30,70,30,60,2023-01-12
2,000859,40,60,40,50,40,40,10,30,60,2023-01-12
2,000861,40,70,50,40,30,50,0,30,40,2023-01-12
2,000871,60,50,60,50,50,50,0,50,70,2023-01-12
2,000911,60,50,70,60,50,50,10,50,60,2023-01-12
2,000921,50,30,50,50,40,40,40,30,50,2023-01-12
2,000928,30,50,60,60,30,20,0,40,70,2023-01-12
2,000931,70,30,50,60,30,30,0,30,70,2023-01-12
2,000932,40,50,60,40,30,40,0,40,50,2023-01-12
2,M000367,40,50,60,70,40,40,40,40,70,2023-01-12
2,M000368,40,40,50,30,30,20,20,30,60,2023-01-12
2,M000369,60,20,60,20,20,20,0,20,60,2023-01-12
2,M000370,40,40,50,40,30,20,0,30,40,2023-01-12
2,M000371,50,40,50,50,30,40,0,40,50,2023-01-12
2,M000372,50,30,50,40,30,40,0,30,50,2023-01-12
2,M000373,50,50,60,50,40,40,0,30,50,2023-01-12
2,M000374,40,40,50,30,30,40,0,30,40,2023-01-12
2,M000375,40,30,40,40,30,40,0,30,50,2023-01-12
2,M000376,50,30,50,50,30,20,10,30,40,2023-01-12
2,M000377,50,50,40,40,30,30,10,30,50,2023-01-12
2,M000378,50,30,60,50,30,50,0,40,50,2023-01-12
2,M000379,50,30,60,50,40,40,30,30,60,2023-01-12
2,M000380,50,50,50,50,40,40,10,40,50,2023-01-12
2,M000381,50,30,50,50,30,30,0,40,50,2023-01-12
2,M000382,40,40,40,40,30,40,0,40,50,2023-01-12
2,M000383,40,30,60,50,40,50,20,30,60,2023-01-12
2,M000384,40,30,60,40,30,30,0,30,60,2023-01-12
2,M000385,40,50,50,30,30,20,0,20,70,2023-01-12
2,M000386,50,40,50,40,30,20,0,40,60,2023-01-12
2,M000387,60,40,50,50,30,20,0,50,60,2023-01-12
2,M000388,50,50,50,50,40,40,0,50,50,2023-01-12
2,M000389,50,40,50,60,30,30,0,30,50,2023-01-12
2,M000390,50,40,60,40,30,20,0,30,50,2023-01-12
2,M000391,60,50,50,60,30,50,0,40,60,2023-01-12
2,M000392,60,40,50,50,30,30,0,40,60,2023-01-12
2,M000393,40,60,60,50,40,40,0,40,50,2023-01-12
2,M000394,50,30,60,50,50,60,80,40,60,2023-01-12
2,M000395,40,30,40,40,40,30,10,50,50,2023-01-12
2,M000396,40,50,40,40,30,50,10,40,50,2023-01-12
2,M000397,50,70,50,50,40,40,0,40,60,2023-01-12
2,M000398,40,40,50,50,50,40,0,40,50,2023-01-12
2,M000399,40,50,40,50,40,30,0,50,50,2023-01-12
2,M000400,50,60,50,60,50,40,10,40,50,2023-01-12
2,M000401,40,50,40,60,40,40,10,50,50,2023-01-12
2,M000402,40,40,50,40,40,40,0,40,50,2023-01-12
3,000656,50,30,60,40,30,30,40,30,40,2023-01-12
3,000657,40,50,50,40,30,30,10,40,50,2023-01-12
3,000658,40,50,50,40,40,40,10,50,60,2023-01-12
3,000661,40,60,50,40,40,40,0,30,50,2023-01-12
3,000662,40,60,40,50,40,40,0,40,50,2023-01-12
3,000664,50,50,50,50,40,30,10,40,40,2023-01-12
3,000665,40,50,50,40,30,30,10,40,50,2023-01-12
3,000666,40,50,50,40,30,40,0,40,50,2023-01-12
3,000668,40,70,40,50,30,40,0,50,50,2023-01-12
3,000669,40,40,40,50,30,30,40,40,50,2023-01-12
3,000670,40,50,70,50,40,40,0,40,70,2023-01-12
3,000672,40,60,40,60,30,40,0,20,40,2023-01-12
3,000673,40,20,40,30,20,20,70,20,40,2023-01-12
3,000676,30,80,60,60,40,50,0,50,60,2023-01-12
3,000694,50,40,60,50,30,40,10,30,50,2023-01-12
3,000696,40,60,60,60,30,20,0,50,70,2023-01-12
3,000697,50,60,70,50,40,40,0,30,60,2023-01-12
3,000698,40,60,40,40,30,30,0,30,50,2023-01-12
3,000700,30,60,40,40,30,40,0,40,50,2023-01-12
3,000701,30,50,50,50,30,30,0,30,50,2023-01-12
3,000702,50,30,60,60,30,40,0,30,50,2023-01-12
3,000703,40,30,70,40,30,20,10,20,60,2023-01-12
3,000704,40,70,70,60,30,40,0,20,70,2023-01-12
3,000706,50,30,70,50,30,40,0,30,60,2023-01-12
3,000707,50,50,40,40,20,30,0,30,40,2023-01-12
3,000708,30,30,60,30,20,40,0,20,60,2023-01-12
3,000710,30,30,60,30,30,40,0,20,60,2023-01-12
3,000712,40,50,70,60,30,40,30,30,70,2023-01-12
3,000714,40,60,50,50,30,40,0,30,60,2023-01-12
3,000715,20,40,20,80,50,20,80,10,80,2023-01-12
3,000716,40,60,60,60,50,30,0,40,60,2023-01-12
3,000717,60,30,50,30,30,30,40,40,50,2023-01-12
3,000719,40,70,60,60,40,50,0,20,40,2023-01-12
3,000720,40,50,50,60,50,40,10,30,50,2023-01-12
3,000721,60,40,60,50,30,40,0,30,50,2023-01-12
3,000722,40,30,60,40,50,30,70,30,70,2023-01-12
3,000724,40,40,70,50,30,20,0,50,60,2023-01-12
3,000725,30,60,80,60,40,40,0,50,80,2023-01-12
3,000727,50,50,60,60,40,20,10,40,60,2023-01-12
3,000728,70,70,60,80,30,40,0,40,80,2023-01-12
3,000729,40,50,50,50,40,30,0,40,60,2023-01-12
3,000730,40,40,50,50,30,30,50,30,50,2023-01-12
3,000732,60,50,50,60,30,40,0,60,60,2023-01-12
3,000734,40,40,50,50,40,30,0,50,50,2023-01-12
3,000738,40,70,50,50,30,30,0,40,70,2023-01-12
3,000742,40,50,60,50,30,30,0,40,60,2023-01-12
3,000743,50,50,50,50,40,40,0,40,70,2023-01-12
3,000746,40,50,50,60,40,40,0,40,50,2023-01-12
3,000747,40,50,60,50,40,30,0,40,50,2023-01-12
3,000748,50,50,40,60,30,30,10,40,50,2023-01-12
3,000749,60,40,60,50,40,40,0,40,70,2023-01-12
3,000755,40,40,60,50,40,70,0,40,50,2023-01-12
3,000756,40,40,60,50,40,40,10,40,60,2023-01-12
3,000757,50,50,60,40,30,30,0,40,60,2023-01-12
3,000760,70,40,60,50,50,30,10,30,50,2023-01-12
3,000761,50,40,50,40,40,60,10,40,50,2023-01-12
3,000763,50,40,50,50,40,40,0,40,60,2023-01-12
3,000767,50,60,60,60,40,40,0,40,50,2023-01-12
3,000772,40,50,50,50,40,40,0,50,60,2023-01-12
3,000775,50,50,60,60,40,40,10,40,80,2023-01-12
3,000777,50,40,60,60,50,30,30,50,70,2023-01-12
3,000781,40,50,50,60,40,40,0,50,60,2023-01-12
3,000783,40,50,40,40,30,20,0,40,40,2023-01-12
3,000785,50,50,50,50,40,50,10,50,50,2023-01-12
3,000786,50,60,70,70,40,30,0,50,70,2023-01-12
3,000788,50,60,30,40,30,30,0,40,40,2023-01-12
3,000789,50,50,40,40,30,40,0,40,40,2023-01-12
3,000791,50,70,60,50,30,40,10,40,50,2023-01-12
3,000792,50,50,40,50,40,40,0,40,50,2023-01-12
3,000794,40,60,80,60,40,60,10,60,80,2023-01-12
3,000796,50,40,50,50,40,40,20,40,50,2023-01-12
3,000797,50,40,40,40,30,40,0,40,50,2023-01-12
3,000804,40,50,70,60,50,40,0,40,60,2023-01-12
3,000805,50,70,40,50,40,40,10,30,60,2023-01-12
3,000806,40,50,30,20,30,30,0,20,20,2023-01-12
3,000807,40,40,50,60,40,60,50,40,60,2023-01-12
3,000811,80,40,40,70,30,40,0,50,70,2023-01-12
3,000813,50,50,50,50,40,30,0,50,50,2023-01-12
3,000814,40,50,50,50,40,30,0,50,60,2023-01-12
3,000815,50,50,30,40,20,30,0,40,50,2023-01-12
3,000818,40,40,50,50,40,40,10,40,70,2023-01-12
3,000819,50,40,50,50,40,40,40,40,60,2023-01-12
3,000825,40,40,70,50,30,30,0,40,50,2023-01-12
3,000827,40,40,100,60,50,30,10,60,60,2023-01-12
3,000828,40,50,40,40,40,40,0,40,40,2023-01-12
3,000830,40,50,50,50,40,40,0,40,60,2023-01-12
3,000834,40,60,70,60,40,50,0,40,60,2023-01-12
3,000835,40,40,50,50,40,40,0,40,50,2023-01-12
3,000863,40,50,60,50,40,40,0,40,50,2023-01-12
3,000837,40,40,70,60,40,30,10,40,70,2023-01-12
3,000838,50,70,60,60,50,40,0,50,60,2023-01-12
3,000839,40,50,40,40,40,40,0,40,50,2023-01-12
3,000843,60,40,50,60,40,30,10,40,50,2023-01-12
3,000844,50,40,80,80,50,40,10,60,60,2023-01-12
3,000845,40,50,60,50,40,50,0,40,60,2023-01-12
3,000846,50,40,60,70,50,40,60,40,70,2023-01-12
3,000847,60,50,70,50,40,30,20,40,60,2023-01-12
3,000848,40,30,60,60,40,50,40,30,60,2023-01-12
3,000849,40,40,50,60,40,40,0,50,60,2023-01-12
3,000850,50,40,60,60,50,30,50,40,80,2023-01-12
3,000872,40,50,50,40,40,40,0,40,70,2023-01-12
3,000873,40,50,50,50,50,50,10,50,50,2023-01-12
3,000874,50,50,60,40,30,30,20,40,50,2023-01-12
3,000875,30,70,50,50,40,30,10,40,50,2023-01-12
3,000876,50,70,50,50,40,40,0,50,40,2023-01-12
3,000877,40,70,50,60,60,50,10,40,70,2023-01-12
3,000878,50,40,60,50,50,30,40,40,70,2023-01-12
3,000879,30,40,40,40,30,40,0,30,50,2023-01-12
3,000880,40,50,70,60,40,40,20,40,60,2023-01-12
3,000886,40,40,70,60,40,40,30,30,90,2023-01-12
3,M000373,40,60,70,50,30,50,0,40,60,2023-01-12
3,M000374,50,30,50,40,30,20,0,30,40,2023-01-12
3,M000375,50,30,60,40,30,20,0,30,50,2023-01-12
3,M000376,50,40,40,60,30,40,10,30,60,2023-01-12
3,M000377,50,40,50,40,30,30,0,30,60,2023-01-12
3,M000378,40,50,50,50,30,40,0,40,60,2023-01-12
3,M000379,50,40,60,60,40,50,30,40,60,2023-01-12
3,M000380,40,40,50,50,30,30,10,50,50,2023-01-12
3,M000381,60,40,60,60,30,40,0,50,60,2023-01-12
3,M000382,50,40,40,40,30,30,0,40,60,2023-01-12
3,M000393,40,60,70,50,50,50,0,40,50,2023-01-12
3,M000394,60,30,50,50,30,50,80,30,60,2023-01-12
3,M000395,50,40,50,50,40,30,10,40,70,2023-01-12
3,M000396,40,60,50,50,50,60,10,40,60,2023-01-12
3,M000397,50,80,50,60,40,50,0,30,40,2023-01-12
3,M000398,40,50,50,50,40,40,10,50,50,2023-01-12
3,M000399,40,50,60,60,40,30,10,40,50,2023-01-12
3,M000400,60,60,50,60,40,50,20,40,50,2023-01-12
3,M000401,40,60,50,50,40,30,10,40,60,2023-01-12
3,M000402,40,50,60,50,40,50,0,40,60,2023-01-12
4,000656,40,30,40,40,30,30,40,30,40,2023-01-12
4,000657,40,30,50,50,30,30,10,40,60,2023-01-12
4,000658,30,30,40,40,30,30,10,40,50,2023-01-12
4,000661,40,50,50,50,30,30,0,50,60,2023-01-12
4,000662,40,50,40,40,50,40,0,40,40,2023-01-12
4,000664,40,50,30,30,40,30,0,40,30,2023-01-12
4,000665,30,30,40,30,30,30,20,20,30,2023-01-12
4,000666,30,40,60,40,40,40,0,20,40,2023-01-12
4,000668,40,70,30,40,20,30,0,20,40,2023-01-12
4,000669,50,30,40,40,30,20,40,30,50,2023-01-12
4,000670,50,50,50,50,40,40,10,50,60,2023-01-12
4,000672,40,40,40,40,30,30,0,30,40,2023-01-12
4,000673,40,30,30,40,30,40,70,30,40,2023-01-12
4,000676,40,70,40,60,40,40,0,50,50,2023-01-12
4,000694,40,50,50,50,40,30,10,30,50,2023-01-12
4,000696,40,50,60,50,40,30,0,60,60,2023-01-12
4,000697,40,60,60,50,40,40,10,40,60,2023-01-12
4,000698,50,80,30,40,30,30,0,40,50,2023-01-12
4,000700,50,60,40,40,30,40,0,40,50,2023-01-12
4,000701,40,60,40,50,40,40,0,40,60,2023-01-12
4,000702,40,40,60,50,30,30,0,40,50,2023-01-12
4,000703,40,30,60,50,30,20,0,30,60,2023-01-12
4,000704,40,60,60,50,40,30,0,30,60,2023-01-12
4,000706,40,40,60,40,30,30,10,40,50,2023-01-12
4,000707,30,40,40,30,20,20,0,30,30,2023-01-12
4,000708,40,40,50,40,30,30,0,30,50,2023-01-12
4,000710,30,30,60,40,30,20,0,40,50,2023-01-12
4,000712,40,50,60,50,30,30,20,40,60,2023-01-12
4,000714,30,40,50,50,30,30,0,40,70,2023-01-12
4,000715,30,30,30,60,40,20,70,30,70,2023-01-12
4,000716,40,40,60,50,40,30,0,40,40,2023-01-12
4,000717,50,40,50,40,30,30,40,40,50,2023-01-12
4,000719,50,60,60,50,40,40,0,30,60,2023-01-12
4,000720,50,40,40,50,50,40,10,40,50,2023-01-12
4,000721,50,60,50,50,30,30,10,40,50,2023-01-12
4,000722,50,30,50,50,50,30,70,30,50,2023-01-12
4,000724,40,50,60,60,40,30,10,60,60,2023-01-12
4,000725,40,60,50,50,40,50,0,60,60,2023-01-12
4,000727,60,50,50,50,40,30,10,40,70,2023-01-12
4,000728,60,90,50,80,40,40,0,40,70,2023-01-12
4,000729,40,50,50,40,30,40,0,40,40,2023-01-12
4,000730,50,30,30,40,30,30,50,30,50,2023-01-12
4,000732,50,40,50,50,30,40,0,50,40,2023-01-12
4,000734,30,30,50,40,50,40,0,50,40,2023-01-12
4,000738,50,60,50,50,40,30,0,40,70,2023-01-12
4,000742,40,40,60,50,30,30,0,40,50,2023-01-12
4,000743,50,50,50,50,40,30,0,30,70,2023-01-12
4,000746,40,50,20,50,30,30,0,30,50,2023-01-12
4,000747,40,60,40,60,30,30,0,30,50,2023-01-12
4,000748,50,50,40,50,30,40,0,30,50,2023-01-12
4,000749,60,30,70,60,40,40,0,40,70,2023-01-12
4,000755,40,60,70,60,40,60,0,40,60,2023-01-12
4,000756,30,60,50,60,30,40,0,30,60,2023-01-12
4,000757,30,70,70,60,30,40,0,30,70,2023-01-12
4,000760,80,40,60,70,50,30,0,30,50,2023-01-12
4,000761,40,50,60,50,30,50,0,30,50,2023-01-12
4,000763,50,40,40,40,30,40,0,40,60,2023-01-12
4,000767,50,60,50,60,40,40,0,40,50,2023-01-12
4,000772,50,50,50,60,30,40,0,40,50,2023-01-12
4,000775,40,40,60,60,30,40,10,30,70,2023-01-12
